# data taken from Dans Diffraction at github
# X-ray Form factor: ITC, p578
#Z  Element Name          a1         b1         a2         b2         a3         b3         a4         b4         c          
 55 Cs      Cesium         20.389200   3.569000  19.106200   0.310700  10.662000  24.387900   1.495300 213.904000   3.335200 
 56 Ba      Barium         20.336100   3.216000  19.297000   0.275600  10.888000  20.207300   2.695900 167.202000   2.773100 
 57 La      Lanthanum      20.578000   2.948170  19.599000   0.244475  11.372700  18.772600   3.287190 133.124000   2.146780 
 58 Ce      Cerium         21.167100   2.812190  19.769500   0.226836  11.851300  17.608300   3.330490 127.113000   1.862640 
 59 Pr      Praseodymium   22.044000   2.773930  19.669700   0.222087  12.385600  16.766900   2.824280 143.644000   2.058300 
 60 Nd      Neodymium      22.684500   2.662480  19.684700   0.210628  12.774000  15.885000   2.851370 137.903000   1.984860 
 61 Pm      Promethium     23.340500   2.562700  19.609500   0.202088  13.123500  15.100900   2.875160 132.721000   2.028760 
 62 Sm      Samarium       24.004200   2.472740  19.425800   0.196451  13.439600  14.399600   2.896040 128.007000   2.209630 
 63 Eu      Europium       24.627400   2.387900  19.088600   0.194200  13.760300  13.754600   2.922700 123.174000   2.574500 
 64 Gd      Gadolinium     25.070900   2.253410  19.079800   0.181951  13.851800  12.933100   3.545450 101.398000   2.419600 
 65 Tb      Terbium        25.897600   2.242560  18.218500   0.196143  14.316700  12.664800   2.953540 115.362000   3.583240 
 66 Dy      Dysprosium     26.507000   2.180200  17.638300   0.202172  14.559600  12.189900   2.965770 111.874000   4.297280 
 67 Ho      Holmium        26.904900   2.070510  17.294000   0.197940  14.558300  11.440700   3.638370  92.656600   4.567960 
 68 Er      Erbium         27.656300   2.073560  16.428500   0.223545  14.977900  11.360400   2.982330 105.703000   5.920460 
 69 Tm      Thulium        28.181900   2.028590  15.885100   0.238849  15.154200  10.997500   2.987060 102.961000   6.756210 
 70 Yb      Ytterbium      28.664100   1.988900  15.434500   0.257119  15.308700  10.664700   2.989630 100.417000   7.566720 
 71 Lu      Lutetium       28.947600   1.901820  15.220800   9.985190  15.100000   0.261033   3.716010  84.329800   7.976280 
 72 Hf      Hafnium        29.144000   1.832620  15.172600   9.599900  14.758600   0.275116   4.300130  72.029000   8.581540 
 73 Ta      Tantalum       29.202400   1.773330  15.229300   9.370460  14.513500   0.295977   4.764920  63.364400   9.243540 
 74 W       Tungsten       29.081800   1.720290  15.430000   9.225900  14.432700   0.321703   5.119820  57.056000   9.887500 
 75 Re      Rhenium        28.762100   1.671910  15.718900   9.092270  14.556400   0.350500   5.441740  52.086100  10.472000 
 76 Os      Osmium         28.189400   1.629030  16.155000   8.979480  14.930500   0.382661   5.675890  48.164700  11.000500 
 77 Ir      Iridium        27.304900   1.592790  16.729600   8.865530  15.611500   0.417916   5.833770  45.001100  11.472200 
 78 Pt      Platinum       27.005900   1.512930  17.763900   8.811740  15.713100   0.424593   5.783700  38.610300  11.688300 
 79 Au      Gold           16.881900   0.461100  18.591300   8.621600  25.558200   1.482600   5.860000  36.395600  12.065800 
 80 Hg      Mercury        20.680900   0.545000  19.041700   8.448400  21.657500   1.572900   5.967600  38.324600  12.608900 
 81 Tl      Thallium       27.544600   0.655150  19.158400   8.707510  15.538000   1.963470   5.525930  45.814900  13.174600 
 82 Pb      Lead           31.061700   0.690200  13.063700   2.357600  18.442000   8.618000   5.969600  47.257900  13.411800 
 83 Bi      Bismuth        33.368900   0.704000  12.951000   2.923800  16.587700   8.793700   6.469200  48.009300  13.578200 
 84 Po      Polonium       34.672600   0.700999  15.473300   3.550780  13.113800   9.556420   7.025880  47.004500  13.677000 
 85 At      Astatine       35.316300   0.685870  19.021100   3.974580   9.498870  11.382400   7.425180  45.471500  13.710800 
 86 Rn      Radon          35.563100   0.663100  21.281600   4.069100   8.003700  14.042200   7.443300  44.247300  13.690500 
 87 Fr      Francium       35.929900   0.646453  23.054700   4.176190  12.143900  23.105200   2.112530 150.645000  13.724700 
